,State,full,climate_policy_index,ren_share_22,state_ems_change_1621,State_Effective_Tax_Rate,Right_to_work,ind_elec_price,man_share,worker_pay.y,gdp_17_22,cnbc_rank,demshare,demshare_statesenate,demshare_statehouse,dem_governor,dem_statecontrol,subs_m,incent_gdp,corruption_rank,liberal,pro_environment,pro_welfare,pro_race,LCVavg,other_spend_budget,budget_gdp
423,OK,Oklahoma,0.221770491,54.3,-8.637,0.09,0,20.4,5.356461991,59785.1559,-0.5,41,0.330599605,0.166666667,0.198019802,0,0,2363.227783,0.012335269,40,11.27844364,0.484065533,0.238373968,0.274289964,16.5,30.17393743,12.2261825
424,WA,Washington,0.682489995,9.4,-7.058,0.11,1,18.08,3.893486672,76171.51236,21.6,7,0.599255032,0.591836735,0.591836735,1,1,1445.075503,0.002253903,2,23.03003415,0.52459228,0.227207827,0.271427975,81,26.00661843,8.494801097
425,NE,Nebraska,0.224206496,37.6,-2.323,0.12,0,21.14,8.013911813,57505.2728,11.2,28,0.402159478,NA,NA,0,0.5,648.233639,0.004728937,7,13.54702329,0.533818722,0.219736938,0.258371685,10,34.64190447,9.535281598
426,FL,Florida,0.339399685,8.8,-5.239,0.09,0,26.84,3.807336091,61660.86646,20.1,8,0.483052453,0.3,0.3,0,0,1306.027888,0.001071894,32,17.38986658,0.575741112,0.271232651,0.338166328,50.5,25.85134575,7.321697189
427,WI,Wisconsin,0.43024134,4.1,-3.3,0.11,0,24.88,26.9645961,62694.97699,4.3,33,0.503179523,0.303030303,0.353535354,1,0.5,448.399748,0.001335761,10,19.33653858,0.547334492,0.217414129,0.273797082,72.5,41.08567778,15.11856477
428,KY,Kentucky,0.219657071,0.2,-12.234,0.1,0,21.72,20.76978785,58106.11701,6.9,38,0.367982035,0.184210526,0.2,1,0.5,1272.319743,0.005847915,39,13.07070349,0.561427951,0.228726992,0.285950674,22,22.81812644,16.85154148
429,CA,California,0.914532924,32.9,-8.301,0.14,1,50.08,9.700586008,87876.6167,15.6,25,0.649089114,0.8,0.775,1,1,570.026,0.000179963,20,26.28857782,0.593053102,0.273065225,0.332515879,80,35.29813857,11.66949361
430,FL,Florida,0.339399685,8.8,-5.239,0.09,0,26.84,8.774831862,61660.86646,20.1,8,0.483052453,0.3,0.3,0,0,1306.027888,0.001071894,32,17.38986658,0.575741112,0.271232651,0.338166328,50.5,25.85134575,7.321697189
431,WV,West Virginia,0.16707647,6.2,-6.432,0.1,0,19.75,8.976495196,61824.94745,1.8,46,0.302014677,0.088235294,0.11,0,0,1700,0.022214817,30,12.51841837,0.497780681,0.228432214,0.277147776,57,38.02186419,21.41254429
432,FL,Florida,0.339399685,8.8,-5.239,0.09,0,26.84,4.020270747,61660.86646,20.1,8,0.483052453,0.3,0.3,0,0,1306.027888,0.001071894,32,17.38986658,0.575741112,0.271232651,0.338166328,50.5,25.85134575,7.321697189
433,IL,Illinois,0.494461858,19.6,-11.184,0.13,1,25.12,9.421874071,69011.44039,3.8,17,0.586590437,0.661016949,0.661016949,1,1,1065.541186,0.001233021,43,23.32385353,0.558254421,0.242371479,0.309645845,67,51.40853485,9.732300611
434,PA,Pennsylvania,0.52491072,3.3,-2.053,0.11,1,24.07,6.266879335,64076.61493,2.4,15,0.505892053,0.44,0.502463054,1,0.5,450.739908,0.000583606,38,20.46884428,0.533220232,0.222925474,0.319624748,73,28.39852171,11.83605387
435,AZ,Arizona,0.314265679,16.2,-8.625,0.1,0,23.05,6.394537953,76183.07929,21.1,14,0.501568317,0.466666667,0.483333333,1,0.5,454.561758,0.001126619,14,16.78966655,0.572675049,0.244885617,0.301865892,30,40.31962884,13.93940713
436,AR,Arkansas,0.272448833,2,-0.164,0.1,0,21.63,22.80726994,53892.61978,10.9,44,0.357875667,0.171428571,0.18,0,0,21.89687,0.000159417,19,12.53593946,0.486100018,0.24423437,0.303640746,32.5,34.74636387,20.08268658
