,State,full,climate_policy_index,ren_share_22,state_ems_change_1621,State_Effective_Tax_Rate,Right_to_work,ind_elec_price,man_share,worker_pay.y,gdp_17_22,cnbc_rank,demshare,demshare_statesenate,demshare_statehouse,dem_governor,dem_statecontrol,subs_m,incent_gdp,corruption_rank,liberal,pro_environment,pro_welfare,pro_race,LCVavg,other_spend_budget,budget_gdp
502,FL,Florida,0.339399685,8.8,-5.239,0.09,0,26.84,2.698804562,61660.86646,20.1,8,0.483052453,0.3,0.3,0,0,1306.027888,0.001071894,32,17.38986658,0.575741112,0.271232651,0.338166328,50.5,25.85134575,7.321697189
503,IN,Indiana,0.18647309,11.4,-8.498,0.09,0,25.35,16.18751013,61458.92117,10.8,13,0.41804952,0.18,0.3,0,0,1299.934632,0.003282587,17,16.38610986,0.525077939,0.240882712,0.274320628,26.5,23.46411065,9.622435121
504,TX,Texas,0.337290444,29.5,1.003,0.09,0,20.89,13.29031152,69643.50291,15.4,6,0.471692788,0.35483871,0.426666667,0,0,2004.947997,0.001042069,18,14.94194945,0.475048274,0.259371388,0.313956512,16.5,7.705398685,6.109622005
505,FL,Florida,0.339399685,8.8,-5.239,0.09,0,26.84,3.999009095,61660.86646,20.1,8,0.483052453,0.3,0.3,0,0,1306.027888,0.001071894,32,17.38986658,0.575741112,0.271232651,0.338166328,50.5,25.85134575,7.321697189
506,OH,Ohio,0.238911747,2.9,-5.499,0.1,1,21.83,18.57466132,62305.78298,5.7,12,0.459233024,0.212121212,0.313131313,0,0,3782.396369,0.005484267,36,18.22359339,0.532747269,0.231219838,0.295419353,59,32.75533935,10.56252894
507,KS,Kansas,0.184914883,71.1,-4.554,0.11,0,24.33,10.04092103,64303.27001,5.1,23,0.425065717,0.275,0.32,1,0.5,1624.606127,0.009294373,11,13.81039137,0.563986242,0.218802836,0.257231493,12.5,25.30840014,10.2804598
508,NJ,New Jersey,0.602059724,7,-15.636,0.13,1,35.52,3.420373763,70792.91864,9.6,19,0.580712836,0.625,0.65,1,1,629.152372,0.000972819,31,24.22967932,0.581265032,0.248106664,0.32877983,86,31.22750967,10.58007483
509,AZ,Arizona,0.314265679,16.2,-8.625,0.1,0,23.05,6.615618256,76183.07929,21.1,14,0.501568317,0.466666667,0.483333333,1,0.5,454.561758,0.001126619,14,16.78966655,0.572675049,0.244885617,0.301865892,30,40.31962884,13.93940713
510,OK,Oklahoma,0.221770491,54.3,-8.637,0.09,0,20.4,12.00411652,59785.1559,-0.5,41,0.330599605,0.166666667,0.198019802,0,0,2363.227783,0.012335269,40,11.27844364,0.484065533,0.238373968,0.274289964,16.5,30.17393743,12.2261825
511,AL,Alabama,0.14894579,1.1,-4.908,0.1,0,22.62,23.48178615,59133.47322,8.9,42,0.370886252,0.228571429,0.266666667,0,0,4.709692,1.99726301942306e-05,44,12.99207365,0.545506358,0.260220705,0.336372068,20,25.92026682,12.55112194
512,ID,Idaho,0.128707428,12.1,11.886,0.11,0,19.67,14.88190375,64038.47084,25.7,26,0.341228571,0.2,0.157142857,0,0,22.491701,0.000245318,15,12.49919497,0.562173128,0.231252374,0.264192695,34.5,35.49115793,11.39266777
513,TX,Texas,0.337290444,29.5,1.003,0.09,0,20.89,9.879648497,69643.50291,15.4,6,0.471692788,0.35483871,0.426666667,0,0,2004.947997,0.001042069,18,14.94194945,0.475048274,0.259371388,0.313956512,16.5,7.705398685,6.109622005
514,HI,Hawaii,0.507679861,34.3,-12.505,0.14,1,107.6,2.532802047,48192.64857,-2.5,47,0.650335179,0.92,0.882352941,1,1,NA,NA,28,33.40513379,0.62610966,0.245416604,0.303109365,89,NA,NA
515,NY,New York,0.694948106,7.1,-8.289,0.16,1,22.13,11.42980936,68111.90349,8.5,20,0.617168349,0.666666667,0.68,1,1,9845.224887,0.005582698,41,27.28226444,0.606758833,0.239969901,0.372098672,94,31.94444444,9.998813056
516,GA,Georgia,0.270791424,5.1,-14.13,0.09,0,25.36,9.103772508,56979.44017,12.4,4,0.501283338,0.410714286,0.433333333,0,0,4852.224547,0.007398632,33,16.56847228,0.557669342,0.25764463,0.330139784,19,24.19094554,8.53187318
517,CA,California,0.914532924,32.9,-8.301,0.14,1,50.08,9.062070424,87876.6167,15.6,25,0.649089114,0.8,0.775,1,1,570.026,0.000179963,20,26.28857782,0.593053102,0.273065225,0.332515879,80,35.29813857,11.66949361
518,TX,Texas,0.337290444,29.5,1.003,0.09,0,20.89,6.06747311,69643.50291,15.4,6,0.471692788,0.35483871,0.426666667,0,0,2004.947997,0.001042069,18,14.94194945,0.475048274,0.259371388,0.313956512,16.5,7.705398685,6.109622005
519,NJ,New Jersey,0.602059724,7,-15.636,0.13,1,35.52,17.3033355,70792.91864,9.6,19,0.580712836,0.625,0.65,1,1,629.152372,0.000972819,31,24.22967932,0.581265032,0.248106664,0.32877983,86,31.22750967,10.58007483
520,VA,Virginia,0.400964448,4,-11.004,0.13,0,23.42,9.698580751,61553.50458,12,2,0.55154687,0.525,0.51,0,0.5,140,0.000242649,37,19.21795955,0.592493236,0.247026659,0.325550792,62,35.32782737,9.76533376
521,CA,California,0.914532924,32.9,-8.301,0.14,1,50.08,13.18435178,87876.6167,15.6,25,0.649089114,0.8,0.775,1,1,570.026,0.000179963,20,26.28857782,0.593053102,0.273065225,0.332515879,80,35.29813857,11.66949361
522,TX,Texas,0.337290444,29.5,1.003,0.09,0,20.89,14.27187206,69643.50291,15.4,6,0.471692788,0.35483871,0.426666667,0,0,2004.947997,0.001042069,18,14.94194945,0.475048274,0.259371388,0.313956512,16.5,7.705398685,6.109622005
523,WA,Washington,0.682489995,9.4,-7.058,0.11,1,18.08,17.83565157,76171.51236,21.6,7,0.599255032,0.591836735,0.591836735,1,1,1445.075503,0.002253903,2,23.03003415,0.52459228,0.227207827,0.271427975,81,26.00661843,8.494801097
524,GA,Georgia,0.270791424,5.1,-14.13,0.09,0,25.36,13.09092432,56979.44017,12.4,4,0.501283338,0.410714286,0.433333333,0,0,4852.224547,0.007398632,33,16.56847228,0.557669342,0.25764463,0.330139784,19,24.19094554,8.53187318
525,DC,District of Columbia,NA,1.9,-8.598,0.12,1,22.68,1.885615285,54955.78947,7.2,NA,0.944669538,0.846153846,NA,0,0.5,35.191376,0.000244334,NA,NA,NA,NA,NA,NA,NA,NA
526,NY,New York,0.694948106,7.1,-8.289,0.16,1,22.13,7.993564194,68111.90349,8.5,20,0.617168349,0.666666667,0.68,1,1,9845.224887,0.005582698,41,27.28226444,0.606758833,0.239969901,0.372098672,94,31.94444444,9.998813056
527,WI,Wisconsin,0.43024134,4.1,-3.3,0.11,0,24.88,28.43961044,62694.97699,4.3,33,0.503179523,0.303030303,0.353535354,1,0.5,448.399748,0.001335761,10,19.33653858,0.547334492,0.217414129,0.273797082,72.5,41.08567778,15.11856477
528,WV,West Virginia,0.16707647,6.2,-6.432,0.1,0,19.75,13.45812393,61824.94745,1.8,46,0.302014677,0.088235294,0.11,0,0,1700,0.022214817,30,12.51841837,0.497780681,0.228432214,0.277147776,57,38.02186419,21.41254429
529,WA,Washington,0.682489995,9.4,-7.058,0.11,1,18.08,5.478045237,76171.51236,21.6,7,0.599255032,0.591836735,0.591836735,1,1,1445.075503,0.002253903,2,23.03003415,0.52459228,0.227207827,0.271427975,81,26.00661843,8.494801097
530,WV,West Virginia,0.16707647,6.2,-6.432,0.1,0,19.75,4.451780712,61824.94745,1.8,46,0.302014677,0.088235294,0.11,0,0,1700,0.022214817,30,12.51841837,0.497780681,0.228432214,0.277147776,57,38.02186419,21.41254429
531,KS,Kansas,0.184914883,71.1,-4.554,0.11,0,24.33,17.93578469,64303.27001,5.1,23,0.425065717,0.275,0.32,1,0.5,1624.606127,0.009294373,11,13.81039137,0.563986242,0.218802836,0.257231493,12.5,25.30840014,10.2804598
532,TX,Texas,0.337290444,29.5,1.003,0.09,0,20.89,9.059821468,69643.50291,15.4,6,0.471692788,0.35483871,0.426666667,0,0,2004.947997,0.001042069,18,14.94194945,0.475048274,0.259371388,0.313956512,16.5,7.705398685,6.109622005
533,PA,Pennsylvania,0.52491072,3.3,-2.053,0.11,1,24.07,16.34648808,64076.61493,2.4,15,0.505892053,0.44,0.502463054,1,0.5,450.739908,0.000583606,38,20.46884428,0.533220232,0.222925474,0.319624748,73,28.39852171,11.83605387
534,NC,North Carolina,0.625870668,9,-7.474,0.1,0,19.18,5.60388705,58104.25992,11.4,1,0.493158175,0.4,0.4,1,0.5,4708.252774,0.007730382,16,17.35499567,0.543512762,0.260586091,0.330378759,41.5,18.96821527,9.15706678
535,VA,Virginia,0.400964448,4,-11.004,0.13,0,23.42,13.28064937,61553.50458,12,2,0.55154687,0.525,0.51,0,0.5,140,0.000242649,37,19.21795955,0.592493236,0.247026659,0.325550792,62,35.32782737,9.76533376
536,NC,North Carolina,0.625870668,9,-7.474,0.1,0,19.18,12.90915294,58104.25992,11.4,1,0.493158175,0.4,0.4,1,0.5,4708.252774,0.007730382,16,17.35499567,0.543512762,0.260586091,0.330378759,41.5,18.96821527,9.15706678
537,MA,Massachusetts,0.754680701,11,-12.44,0.12,1,49.99,12.0424794,85430.45021,14,15,0.671155495,0.9,0.83125,1,1,210.306525,0.000347984,23,26.58358741,0.585763514,0.245686865,0.29035167,68,43.53280272,10.36285383
538,WA,Washington,0.682489995,9.4,-7.058,0.11,1,18.08,12.64528058,76171.51236,21.6,7,0.599255032,0.591836735,0.591836735,1,1,1445.075503,0.002253903,2,23.03003415,0.52459228,0.227207827,0.271427975,81,26.00661843,8.494801097
539,PA,Pennsylvania,0.52491072,3.3,-2.053,0.11,1,24.07,18.85696332,64076.61493,2.4,15,0.505892053,0.44,0.502463054,1,0.5,450.739908,0.000583606,38,20.46884428,0.533220232,0.222925474,0.319624748,73,28.39852171,11.83605387
540,OH,Ohio,0.238911747,2.9,-5.499,0.1,1,21.83,14.59644714,62305.78298,5.7,12,0.459233024,0.212121212,0.313131313,0,0,3782.396369,0.005484267,36,18.22359339,0.532747269,0.231219838,0.295419353,59,32.75533935,10.56252894
541,CA,California,0.914532924,32.9,-8.301,0.14,1,50.08,6.647893866,87876.6167,15.6,25,0.649089114,0.8,0.775,1,1,570.026,0.000179963,20,26.28857782,0.593053102,0.273065225,0.332515879,80,35.29813857,11.66949361
542,AZ,Arizona,0.314265679,16.2,-8.625,0.1,0,23.05,8.274202249,76183.07929,21.1,14,0.501568317,0.466666667,0.483333333,1,0.5,454.561758,0.001126619,14,16.78966655,0.572675049,0.244885617,0.301865892,30,40.31962884,13.93940713
