Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
          Sports betting (including pari-mutuels),T18,"2,220,776","8,258",X,"34,366","6,314","19,419","25,014","23,153","13,431","1,573","10,800",X,X,"1,317","160,876","179,417","17,038","5,825","56,061","38,873","1,301","32,598","40,177","16,588","1,516","4,941",X,"59,358",151,"39,994","36,861","105,401",952,"771,120",X,"1,470","89,209","1,149","32,258","175,327","26,983",X,219,"83,303","4,900",X,X,"71,552","1,097","6,946",0,"13,670"
          Other selective sales and gross receipts,T19,"64,983,027","623,606","64,928","258,151","316,654","6,538,331","1,534,486","1,859,940","164,456","92,507","1,137,980","561,731","957,996","76,447","4,239,351","2,422,787","64,153","61,037","1,015,310","139,316","170,091","1,786,581","927,456","1,989,515","2,318,014","297,005","134,529","176,873","35,032","384,731","408,960","2,586,142","201,221","7,454,404","1,296,169","194,913","2,732,094","87,568","1,559,916","2,482,003","450,317","549,247","162,262","626,967","7,956,607","22,276","609,442","2,920,520","1,223,271","673,577","433,173","2,984"
License taxes,TA3,"68,847,109","624,743","109,440","681,723","434,220","13,264,885","676,562","347,764","2,651,434","239,728","2,285,918","773,549","333,174","458,212","3,834,956","865,374","1,133,340","440,781","601,338","714,919","319,302","1,028,637","1,327,817","2,276,945","1,483,952","428,086","730,765","513,606","199,078","735,074","574,980","2,343,621","337,464","1,901,733","2,686,397","231,205","2,137,048","1,178,147","1,560,110","2,891,665","185,426","757,210","348,103","2,595,881","3,870,118","404,303","148,763","1,361,508","2,095,212","188,584","1,314,902","219,407"
     Alcoholic beverages,T20,"827,431","4,396","2,026","22,857","5,753","81,109","9,013","10,130","2,852","6,618","8,290","2,150",X,"2,616","7,012","21,563","17,953","3,235","8,485",0,"6,589",642,"4,302","22,581","3,447","1,443","6,296","8,235","1,282",X,"5,462","4,852",0,"86,065","28,362",419,"47,111",104,"5,484","34,037","1,358","16,555","1,588","1,858","95,993",0,500,"16,845","205,496","1,948","2,519",X
     Amusements,T21,"734,989",X,32,15,"1,360","17,089","1,019",174,498,583,"2,774",X,X,214,"29,701","7,880","18,460","9,735",250,X,740,"6,279","13,904",X,"8,733","19,688",23,"4,661",427,"79,831",437,"91,035","2,254",0,100,"3,552","57,156","203,765","2,303","22,751",266,"6,376","5,361",506,"13,441",X,21,"81,397","16,894","2,964",85,255
     Corporations in general,T22,"9,098,378","218,327",X,"50,836","39,548","83,264","20,547","36,504","2,390,053","46,789","278,897","59,280","2,861","6,021","367,080","12,868","82,185","15,757","121,489","443,597","15,252","140,758","25,925","36,144","16,597","9,530",0,"7,008","6,378","88,697","88,535","707,856","2,678",420,"994,828",X,"267,659","55,213","46,684","4,147","7,907","170,146","8,523","1,650,187","272,556",266,"3,370","81,072","56,374","1,011","31,804","24,950"
     Hunting and fishing,T23,"1,924,124","24,943","39,886","44,063","30,497","124,086","120,477","5,223","4,249",100,"17,464","26,958",814,"62,453","42,772","26,446","36,532","29,097","30,090","33,864","17,569","18,566","7,087","63,232","112,119","3,264","41,424","82,509","16,737","13,298","12,357","22,279","32,676","52,056","42,721","19,288","43,176","26,977","64,471","87,337","2,393","24,382","39,444","39,231","117,216","33,955","7,896","26,758","44,685",36,"69,556","39,415"
     Motor vehicles,T24,"33,746,269","244,420","31,900","341,102","188,516","8,122,525","385,260","224,287","64,157","39,644","1,535,877","433,181","241,829","238,785","2,254,037","367,843","774,964","251,554","258,808","83,760","125,894","517,541","454,625","1,542,447","934,107","205,977","334,573","199,202","126,613","227,541","117,683","667,220","227,525","1,420,267","1,012,396","119,818","519,779","867,231","1,001,365","1,308,344","37,457","302,979","96,332","315,568","2,312,954","270,745","76,116","522,083","976,271","5,341","714,690","103,136"
     Motor vehicle operators,T25,"3,085,367","46,703",X,"37,948","22,132","352,801","47,790","52,644","5,798","4,848","181,945","126,135",321,"11,391","180,080","277,482","17,715","31,762","29,737","11,519","13,985","26,654","92,563","65,344","49,852","5,258","14,783","10,267","11,821","26,098","15,687","60,110","16,392","175,834","126,039","4,204","88,391","22,685","45,016","82,988","8,511","22,336","5,829","34,733","186,578","30,838","13,971","46,732","142,865","156,693","38,358","5,201"
     Public utilities,T27,"1,082,741","15,158","9,252",0,"10,165","466,611","16,796",588,705,X,"40,157",X,"16,179","67,079","28,625",X,"11,089","6,649",0,"12,006",X,X,X,"35,136","7,247","8,134","21,613",5,X,X,"26,298","18,009","1,947","16,677","20,952",4,"1,307",5,"13,899","78,919",590,"15,097",X,"7,614","21,292",X,X,697,"35,788",385,"50,067",X
     Occupation and businesses,T28,"16,308,809","70,795","16,252","182,588","135,129","4,013,036","75,660","14,488","170,640","88,073","208,019","89,030","55,793","64,048","894,081","47,092","170,688","90,023","150,376","124,287","125,886","316,308","417,019","269,372","260,568","106,643","212,127","185,930","34,649","293,355","266,755","768,448","53,992","148,715","414,137","83,920","970,950",932,"371,333","1,252,054","85,925","183,135","159,313","537,098","664,562","60,789","35,913","520,392","437,390","15,206","349,445","46,450"
     Other license taxes,T29,"2,039,001",1,"10,092","2,314","1,120","4,364",0,"3,726","12,482","53,073","12,495","36,815","15,377","5,605","31,568","104,200","3,754","2,969","2,103","5,886","13,387","1,889","312,392","242,689","91,282","68,149","99,926","15,789","1,171","6,254","41,766","3,812",X,"1,699","46,862",0,"141,519","1,235","9,555","21,088","41,019","16,204","31,713","9,086","185,526","7,710","10,976","65,532","179,449","5,000","58,378",0
