"Representative","State","Amount"
"Fegler Scott Michael (R-NJ)","New Jersey","$250"
"Good Bob (R-VA)","Virginia","$250"
"Maher Michael (R-CA)","California","$250"
"Marshall Kouri (D-IL)","Illinois","$250"
"Marter James (R-IL)","Illinois","$250"
"Mathys Chris (R-CA)","California","$250"
"Riebe Kathleen (D-UT)","Utah","$250"
"Riedel Craig (R-OH)","Ohio","$250"
"Sinclair Kyle (R-TX)","Texas","$250"
"Thomas Kevin (D-NY)","New York","$250"
"France Mike (R-CT)","Connecticut","$243"
"Valimont Gay (D-FL)","Florida","$240"
"Sites Jeffrey (D-OH)","Ohio","$232"
"Kane Caroline (R-TX)","Texas","$226"
"Leavitt Karoline (R-NH)","New Hampshire","$222"
"Moulton Seth (D-MA)","Massachusetts","$201"
"Biggs Andy (R-AZ)","Arizona","$200"
"Cain Nate (R-WV)","West Virginia","$200"
"Focht Cyril (D-TN)","Tennessee","$200"
"Rubio Susan (D-CA)","California","$200"
"Collins Kina (D-IL)","Illinois","$199"
"Bush Cori (D-MO)","Missouri","$196"
"Balint Becca (D-VT)","Vermont","$182"
"Healey Bob (R-NJ)","New Jersey","$172"
"Peterson Kaylee (D-ID)","Idaho","$160"
"Vogel Joseph (D-MD)","Maryland","$160"
"Vasquez Gabe (D-NM)","New Mexico","$157"
"Baez-Geller Lucia (D-FL)","Florida","$150"
"Lewis Jazz (D-MD)","Maryland","$150"
"Lopez Lesley (D-MD)","Maryland","$150"
"Whitesides George (D-CA)","California","$133"
"Christian Jerrad (D-OH)","Ohio","$130"
"Gilbert Madison Gesiotto (R-OH)","Ohio","$130"
"Hart Rhonda J (D-TX)","Texas","$125"
"Kilmer Derek (D-WA)","Washington","$125"
"Kroemer Kurt (D-AZ)","Arizona","$125"
"Adkins Amanda (R-KS)","Kansas","$111"
"Burns Bob (R-NH)","New Hampshire","$111"
"Fung Allan (R-RI)","Rhode Island","$111"
"Green Jennifer-Ruth (R-IN)","Indiana","$111"
"Hendricks Darryl (R-PA)","Pennsylvania","$111"
"King Esther Joy (R-IL)","Illinois","$111"
"Kirkmeyer Barb (R-CO)","Colorado","$111"
"Kistner Tyler (R-MN)","Minnesota","$111"
"Mills Cory (R-FL)","Florida","$111"
"Ogles Andy (R-TN)","Tennessee","$111"
"Schmitt Colin (R-NY)","New York","$111"
"Skarlatos Alek (R-OR)","Oregon","$111"
"Bognet Jim (R-PA)","Pennsylvania","$110"
"Larkin Matt (R-WA)","Washington","$110"
"Stansbury Melanie (D-NM)","New Mexico","$110"
"Bucher Grant (R-IN)","Indiana","$100"
"Goss Phil (D-IN)","Indiana","$100"
"Hough Bruce (R-UT)","Utah","$100"
"Jackson Jeff (D-NC)","North Carolina","$100"
"Johnson Liz (D-GA)","Georgia","$100"
"Kaul Krystle (D-VA)","Virginia","$100"
"McDonough Melissa (D-TX)","Texas","$100"
"Moilanen Daniel Burton (D-MI)","Michigan","$100"
"Prescott Russell (R-NH)","New Hampshire","$100"
"Randall Emily (D-WA)","Washington","$100"
"Rubin Joel (D-MD)","Maryland","$100"
"Spartz Victoria (R-IN)","Indiana","$100"
"Wilczynski Dan (R-OH)","Ohio","$100"
"Blazakis Jason (D-NJ)","New Jersey","$95"
"Girl Maebe A. (D-CA)","California","$80"
"Pettersen Brittany (D-CO)","Colorado","$75"
"Duenas Angelica (D-CA)","California","$68"
"Scholten Hillary (D-MI)","Michigan","$65"
"Smiley Tiffany (R-WA)","Washington","$60"
"Wood Marisa (D-CA)","California","$60"
"Ly Francine (D-TX)","Texas","$55"
"Galan-Woods Marlene (D-AZ)","Arizona","$53"
"Morales Andy (D-CA)","California","$53"
"O'Hara Tim (R-OH)","Ohio","$52"
"Danimus Ann Marie (D-WA)","Washington","$50"
"Grayson Alan (D-FL)","Florida","$50"
"Hamilton Cameron (R-VA)","Virginia","$50"
"Kennedy John Perkins (D-TN)","Tennessee","$50"
"Lankenau Steve (R-OH)","Ohio","$50"
"Mercado O Kent (R-IL)","Illinois","$50"
"Spreitzer Jeremy (D-AZ)","Arizona","$50"
"Teran Raquel (D-AZ)","Arizona","$50"
"Tran Jennifer (D-CA)","California","$50"
"Whitten Gregory (D-AZ)","Arizona","$50"
"Maia-Cusick Shirley (R-NJ)","New Jersey","$47"
"Schrier Kim (D-WA)","Washington","$47"
"Deford Mac (D-SC)","South Carolina","$45"
"Gray Adam (D-CA)","California","$36"
"Castro Joaquin (D-TX)","Texas","$35"
"Swartz Jessica (D-MI)","Michigan","$35"
"Landsman Greg (D-OH)","Ohio","$33"
"Hand Chuck (R-GA)","Georgia","$30"
"Abid Zerqa (D-OH)","Ohio","$25"
"Brownley Julia (D-CA)","California","$25"
"Gereghty Liz (D-NY)","New York","$25"
"Hill Kyle (D-NY)","New York","$25"
"Hook Dr. Kristin (D-TX)","Texas","$25"
"Lloyd Tanya W (D-TX)","Texas","$25"
"McCallian Randi (D-MO)","Missouri","$25"
"Nelson Jim (R-PA)","Pennsylvania","$25"
"Roca Mariela (R-MD)","Maryland","$25"
"Schakowsky Jan (D-IL)","Illinois","$25"
"Shankland Katrina (D-WI)","Wisconsin","$25"
"Soboleski Mike (R-ME)","Maine","$25"
"Thomas Gion (D-TX)","Texas","$25"
"Vine Melissa (D-IA)","Iowa","$25"
"Williams Lily Tang (R-NH)","New Hampshire","$25"
"Marshall Derek (D-CA)","California","$20"
"Montero Maria (R-PA)","Pennsylvania","$16"
"Arballo Phil (D-CA)","California","$13"
"Caraveo Yadira (D-CO)","Colorado","$13"
"Barkley Mike (D-CA)","California","$10"
"Deluz Craig (R-CA)","California","$10"
"Moskowitz Jared (D-FL)","Florida","$10"
"Rush Carolyn (D-NJ)","New Jersey","$10"
"Spicer Lavern (R-FL)","Florida","$10"
"Tran Derek (D-CA)","California","$8"
"Ehasz Ashley (D-PA)","Pennsylvania","$7"
"Takano Mark (D-CA)","California","$7"
"Cash Tambrei (D-GA)","Georgia","$5"
"Harris Ron (D-MN)","Minnesota","$5"
"Simon Lateefah (D-CA)","California","$5"
"Johnson Drew (R-NV)","Nevada","$4"
"Hayes Jahana (D-CT)","Connecticut","$3"
"Davis Wendy (D-TX)","Texas","-$74"
"McGarvey Morgan (D-KY)","Kentucky","-$125"
"Bera Ami (D-CA)","California","-$1000"
"Palazzo Steven (R-MS)","Mississippi","-$1000"
"McKinley David (R-WV)","West Virginia","-$4000"
