Full,Industry,Jobs
Colorado,      Finance and insurance,282960
Colorado,      Real estate and rental and leasing,280499
Colorado,"      Professional, scientific, and technical services",418902
Colorado,      Management of companies and enterprises,54843
Colorado,      Administrative and support and waste management and remediation services,219213
Colorado,      Educational services,83722
Colorado,      Health care and social assistance,367415
Colorado,"      Arts, entertainment, and recreation",107437
Colorado,      Accommodation and food services,305534
Colorado,      Other services (except government and government enterprises),211741
Colorado,    Government and government enterprises,517461
Connecticut,Employment by place of work,
Connecticut,Total employment (number of jobs),2391946
Connecticut,By industry,
Connecticut,  Farm employment,9738
Connecticut,"      Forestry, fishing, and related activities",2197
Connecticut,"      Mining, quarrying, and oil and gas extraction",2198
Connecticut,      Utilities,5627
Connecticut,      Construction,118770
Connecticut,      Manufacturing,165442
Connecticut,      Wholesale trade,69512
Connecticut,      Retail trade,210850
Connecticut,      Transportation and warehousing,108315
Connecticut,      Information,40949
Connecticut,      Finance and insurance,224143
Connecticut,      Real estate and rental and leasing,147423
Connecticut,"      Professional, scientific, and technical services",170763
Connecticut,      Management of companies and enterprises,36844
Connecticut,      Administrative and support and waste management and remediation services,125296
Connecticut,      Educational services,93478
Connecticut,      Health care and social assistance,315047
Connecticut,"      Arts, entertainment, and recreation",52697
Connecticut,      Accommodation and food services,136689
Connecticut,      Other services (except government and government enterprises),115869
Connecticut,    Government and government enterprises,240099
Delaware,Employment by place of work,
Delaware,Total employment (number of jobs),651224
Delaware,By industry,
Delaware,  Farm employment,3205
Delaware,"      Forestry, fishing, and related activities",1145
Delaware,"      Mining, quarrying, and oil and gas extraction",314
Delaware,      Utilities,2145
Delaware,      Construction,35183
Delaware,      Manufacturing,27851
Delaware,      Wholesale trade,14387
Delaware,      Retail trade,62076
Delaware,      Transportation and warehousing,39442
Delaware,      Information,6494
Delaware,      Finance and insurance,76624
Delaware,      Real estate and rental and leasing,37989
Delaware,"      Professional, scientific, and technical services",41198
Delaware,      Management of companies and enterprises,11430
Delaware,      Administrative and support and waste management and remediation services,39465
Delaware,      Educational services,9169
Delaware,      Health care and social assistance,78600
Delaware,"      Arts, entertainment, and recreation",14511
Delaware,      Accommodation and food services,44840
Delaware,      Other services (except government and government enterprises),28664
Delaware,    Government and government enterprises,76492
District of Columbia,Employment by place of work,
District of Columbia,Total employment (number of jobs),904759
District of Columbia,By industry,
District of Columbia,  Farm employment,0
District of Columbia,"      Forestry, fishing, and related activities",(D)
District of Columbia,"      Mining, quarrying, and oil and gas extraction",226
District of Columbia,      Utilities,2268
District of Columbia,      Construction,18852
District of Columbia,      Manufacturing,(D)
District of Columbia,      Wholesale trade,5966
District of Columbia,      Retail trade,25358
District of Columbia,      Transportation and warehousing,12534
District of Columbia,      Information,23630
District of Columbia,      Finance and insurance,34760
District of Columbia,      Real estate and rental and leasing,35820
District of Columbia,"      Professional, scientific, and technical services",151816
District of Columbia,      Management of companies and enterprises,4333
District of Columbia,      Administrative and support and waste management and remediation services,52111
District of Columbia,      Educational services,54388
District of Columbia,      Health care and social assistance,72723
District of Columbia,"      Arts, entertainment, and recreation",16113
District of Columbia,      Accommodation and food services,62847
District of Columbia,      Other services (except government and government enterprises),80259
District of Columbia,    Government and government enterprises,248807
Florida,Employment by place of work,
Florida,Total employment (number of jobs),14227252
Florida,By industry,
Florida,  Farm employment,69807
Florida,"      Forestry, fishing, and related activities",62725
Florida,"      Mining, quarrying, and oil and gas extraction",17175
Florida,      Utilities,27867
Florida,      Construction,887971
Florida,      Manufacturing,457131
Florida,      Wholesale trade,447827
Florida,      Retail trade,1378095
Florida,      Transportation and warehousing,835313
Florida,      Information,212989
Florida,      Finance and insurance,1038373
Florida,      Real estate and rental and leasing,1057272
Florida,"      Professional, scientific, and technical services",1109022
Florida,      Management of companies and enterprises,178748
Florida,      Administrative and support and waste management and remediation services,1125898
Florida,      Educational services,260535
Florida,      Health care and social assistance,1483472
Florida,"      Arts, entertainment, and recreation",376976
Florida,      Accommodation and food services,1099925
Florida,      Other services (except government and government enterprises),905527
Florida,    Government and government enterprises,1194604
Georgia,Employment by place of work,
Georgia,Total employment (number of jobs),6971461
Georgia,By industry,
Georgia,  Farm employment,57015
Georgia,"      Forestry, fishing, and related activities",26121
Georgia,"      Mining, quarrying, and oil and gas extraction",9318
Georgia,      Utilities,21583
Georgia,      Construction,388426
Georgia,      Manufacturing,446773
Georgia,      Wholesale trade,249085
Georgia,      Retail trade,658170
Georgia,      Transportation and warehousing,454899
Georgia,      Information,162140
Georgia,      Finance and insurance,380470
Georgia,      Real estate and rental and leasing,366520
Georgia,"      Professional, scientific, and technical services",506412
Georgia,      Management of companies and enterprises,98975
Georgia,      Administrative and support and waste management and remediation services,559917
Georgia,      Educational services,141074
Georgia,      Health care and social assistance,630643
Georgia,"      Arts, entertainment, and recreation",128625
Georgia,      Accommodation and food services,486856
Georgia,      Other services (except government and government enterprises),429942
Georgia,    Government and government enterprises,768497
Hawaii,Employment by place of work,
Hawaii,Total employment (number of jobs),903622
Hawaii,By industry,
Hawaii,  Farm employment,11581
Hawaii,"      Forestry, fishing, and related activities",4103
Hawaii,"      Mining, quarrying, and oil and gas extraction",701
Hawaii,      Utilities,4053
Hawaii,      Construction,49266
Hawaii,      Manufacturing,16262
Hawaii,      Wholesale trade,21689
Hawaii,      Retail trade,84308
Hawaii,      Transportation and warehousing,44365
Hawaii,      Information,11019
Hawaii,      Finance and insurance,35782
Hawaii,      Real estate and rental and leasing,53091
Hawaii,"      Professional, scientific, and technical services",49890
Hawaii,      Management of companies and enterprises,9533
Hawaii,      Administrative and support and waste management and remediation services,51727
Hawaii,      Educational services,20474
Hawaii,      Health care and social assistance,85954
Hawaii,"      Arts, entertainment, and recreation",21848
Hawaii,      Accommodation and food services,106374
Hawaii,      Other services (except government and government enterprises),49120
Hawaii,    Government and government enterprises,172482
Idaho,Employment by place of work,
Idaho,Total employment (number of jobs),1190624
Idaho,By industry,
Idaho,  Farm employment,40378
Idaho,"      Forestry, fishing, and related activities",13753
Idaho,"      Mining, quarrying, and oil and gas extraction",4833
Idaho,      Utilities,3415
Idaho,      Construction,93405
Idaho,      Manufacturing,79937
Idaho,      Wholesale trade,38945
Idaho,      Retail trade,122917
Idaho,      Transportation and warehousing,50967
Idaho,      Information,12888
Idaho,      Finance and insurance,57109
Idaho,      Real estate and rental and leasing,73842
Idaho,"      Professional, scientific, and technical services",77793
Idaho,      Management of companies and enterprises,11008
Idaho,      Administrative and support and waste management and remediation services,65200
Idaho,      Educational services,26229
Idaho,      Health care and social assistance,120991
Idaho,"      Arts, entertainment, and recreation",24838
Idaho,      Accommodation and food services,81610
Idaho,      Other services (except government and government enterprises),55593
Idaho,    Government and government enterprises,134973
Illinois,Employment by place of work,
Illinois,Total employment (number of jobs),8094358
Illinois,By industry,
Illinois,  Farm employment,73287
Illinois,"      Forestry, fishing, and related activities",13095
Illinois,"      Mining, quarrying, and oil and gas extraction",17205
Illinois,      Utilities,24907
Illinois,      Construction,346844
Illinois,      Manufacturing,588841
Illinois,      Wholesale trade,321423
Illinois,      Retail trade,721799
Illinois,      Transportation and warehousing,526137
Illinois,      Information,121445
Illinois,      Finance and insurance,586256
Illinois,      Real estate and rental and leasing,381470
Illinois,"      Professional, scientific, and technical services",625404
Illinois,      Management of companies and enterprises,95776
Illinois,      Administrative and support and waste management and remediation services,561252
Illinois,      Educational services,209753
Illinois,      Health care and social assistance,894209
Illinois,"      Arts, entertainment, and recreation",159490
Illinois,      Accommodation and food services,526797
Illinois,      Other services (except government and government enterprises),457843
Illinois,    Government and government enterprises,841125
Indiana,Employment by place of work,
Indiana,Total employment (number of jobs),4140665
Indiana,By industry,
Indiana,  Farm employment,57327
Indiana,"      Forestry, fishing, and related activities",10180
Indiana,"      Mining, quarrying, and oil and gas extraction",10180
Indiana,      Utilities,13595
Indiana,      Construction,230173
Indiana,      Manufacturing,557860
Indiana,      Wholesale trade,141404
Indiana,      Retail trade,393058
Indiana,      Transportation and warehousing,254558
Indiana,      Information,39871
Indiana,      Finance and insurance,182354
Indiana,      Real estate and rental and leasing,182215
Indiana,"      Professional, scientific, and technical services",213438
Indiana,      Management of companies and enterprises,41114
Indiana,      Administrative and support and waste management and remediation services,246351
Indiana,      Educational services,88246
Indiana,      Health care and social assistance,459819
Indiana,"      Arts, entertainment, and recreation",70508
Indiana,      Accommodation and food services,285029
Indiana,      Other services (except government and government enterprises),232668
Indiana,    Government and government enterprises,430717
Iowa,Employment by place of work,
Iowa,Total employment (number of jobs),2113995
Iowa,By industry,
Iowa,  Farm employment,89652
Iowa,"      Forestry, fishing, and related activities",17052
Iowa,"      Mining, quarrying, and oil and gas extraction",3480
Iowa,      Utilities,6123
Iowa,      Construction,122748
Iowa,      Manufacturing,229880
Iowa,      Wholesale trade,72724
Iowa,      Retail trade,216438
Iowa,      Transportation and warehousing,97385
Iowa,      Information,26000
Iowa,      Finance and insurance,148523
Iowa,      Real estate and rental and leasing,91759
Iowa,"      Professional, scientific, and technical services",86815
Iowa,      Management of companies and enterprises,26664
Iowa,      Administrative and support and waste management and remediation services,88801
Iowa,      Educational services,42971
Iowa,      Health care and social assistance,210890
Iowa,"      Arts, entertainment, and recreation",35650
Iowa,      Accommodation and food services,126731
Iowa,      Other services (except government and government enterprises),104116
Iowa,    Government and government enterprises,269593
Kansas,Employment by place of work,
Kansas,Total employment (number of jobs),1982258
Kansas,By industry,
Kansas,  Farm employment,61129
Kansas,"      Forestry, fishing, and related activities",11727
Kansas,"      Mining, quarrying, and oil and gas extraction",32913
Kansas,      Utilities,6308
Kansas,      Construction,98664
Kansas,      Manufacturing,175340
Kansas,      Wholesale trade,63964
Kansas,      Retail trade,178827
Kansas,      Transportation and warehousing,98726
Kansas,      Information,23778
Kansas,      Finance and insurance,116460
Kansas,      Real estate and rental and leasing,87841
Kansas,"      Professional, scientific, and technical services",114830
Kansas,      Management of companies and enterprises,26274
Kansas,      Administrative and support and waste management and remediation services,105189
Kansas,      Educational services,28790
Kansas,      Health care and social assistance,208635
Kansas,"      Arts, entertainment, and recreation",31937
Kansas,      Accommodation and food services,121470
Kansas,      Other services (except government and government enterprises),97044
Kansas,    Government and government enterprises,292412
Kentucky,Employment by place of work,
Kentucky,Total employment (number of jobs),2658979
Kentucky,By industry,
Kentucky,  Farm employment,82385
Kentucky,"      Forestry, fishing, and related activities",13745
Kentucky,"      Mining, quarrying, and oil and gas extraction",13356
Kentucky,      Utilities,7173
Kentucky,      Construction,139213
Kentucky,      Manufacturing,260282
Kentucky,      Wholesale trade,85568
Kentucky,      Retail trade,258504
Kentucky,      Transportation and warehousing,181219
Kentucky,      Information,28919
Kentucky,      Finance and insurance,122273
Kentucky,      Real estate and rental and leasing,116545
Kentucky,"      Professional, scientific, and technical services",128994
Kentucky,      Management of companies and enterprises,25876
Kentucky,      Administrative and support and waste management and remediation services,159649
Kentucky,      Educational services,39309
Kentucky,      Health care and social assistance,290694
Kentucky,"      Arts, entertainment, and recreation",43132
Kentucky,      Accommodation and food services,185894
Kentucky,      Other services (except government and government enterprises),133945
Kentucky,    Government and government enterprises,342304
Louisiana,Employment by place of work,
Louisiana,Total employment (number of jobs),2784711
Louisiana,By industry,
Louisiana,  Farm employment,31968
Louisiana,"      Forestry, fishing, and related activities",17431
Louisiana,"      Mining, quarrying, and oil and gas extraction",48761
Louisiana,      Utilities,8683
Louisiana,      Construction,199172
Louisiana,      Manufacturing,144855
Louisiana,      Wholesale trade,76747
Louisiana,      Retail trade,280962
Louisiana,      Transportation and warehousing,131053
Louisiana,      Information,32275
Louisiana,      Finance and insurance,129595
Louisiana,      Real estate and rental and leasing,148136
Louisiana,"      Professional, scientific, and technical services",156931
Louisiana,      Management of companies and enterprises,28666
Louisiana,      Administrative and support and waste management and remediation services,173793
Louisiana,      Educational services,62217
Louisiana,      Health care and social assistance,329370
Louisiana,"      Arts, entertainment, and recreation",49549
Louisiana,      Accommodation and food services,214690
Louisiana,      Other services (except government and government enterprises),177111
Louisiana,    Government and government enterprises,342746
Maine,Employment by place of work,
Maine,Total employment (number of jobs),877326
Maine,By industry,
Maine,  Farm employment,10656
Maine,"      Forestry, fishing, and related activities",13977
Maine,"      Mining, quarrying, and oil and gas extraction",(D)
Maine,      Utilities,(D)
Maine,      Construction,61140
Maine,      Manufacturing,59146
Maine,      Wholesale trade,23027
Maine,      Retail trade,100150
Maine,      Transportation and warehousing,27392
Maine,      Information,10541
Maine,      Finance and insurance,38766
Maine,      Real estate and rental and leasing,46008
Maine,"      Professional, scientific, and technical services",54487
Maine,      Management of companies and enterprises,16455
Maine,      Administrative and support and waste management and remediation services,42880
Maine,      Educational services,22776
Maine,      Health care and social assistance,116644
Maine,"      Arts, entertainment, and recreation",21090
Maine,      Accommodation and food services,62060
Maine,      Other services (except government and government enterprises),42134
Maine,    Government and government enterprises,105199
Maryland,Employment by place of work,
Maryland,Total employment (number of jobs),3886891
Maryland,By industry,
Maryland,  Farm employment,17072
Maryland,"      Forestry, fishing, and related activities",6899
Maryland,"      Mining, quarrying, and oil and gas extraction",3029
Maryland,      Utilities,10831
Maryland,      Construction,247436
Maryland,      Manufacturing,121968
Maryland,      Wholesale trade,95229
Maryland,      Retail trade,351570
Maryland,      Transportation and warehousing,222118
Maryland,      Information,53614
Maryland,      Finance and insurance,197294
Maryland,      Real estate and rental and leasing,220794
Maryland,"      Professional, scientific, and technical services",401156
Maryland,      Management of companies and enterprises,32340
Maryland,      Administrative and support and waste management and remediation services,243224
Maryland,      Educational services,109076
Maryland,      Health care and social assistance,442319
Maryland,"      Arts, entertainment, and recreation",82875
Maryland,      Accommodation and food services,235416
Maryland,      Other services (except government and government enterprises),216029
Maryland,    Government and government enterprises,576602
Massachusetts,Employment by place of work,
Massachusetts,Total employment (number of jobs),5002244
Massachusetts,By industry,
Massachusetts,  Farm employment,10562
Massachusetts,"      Forestry, fishing, and related activities",9947
Massachusetts,"      Mining, quarrying, and oil and gas extraction",2417
Massachusetts,      Utilities,14683
Massachusetts,      Construction,271727
Massachusetts,      Manufacturing,251159
Massachusetts,      Wholesale trade,143178
Massachusetts,      Retail trade,425429
Massachusetts,      Transportation and warehousing,202629
Massachusetts,      Information,118546
Massachusetts,      Finance and insurance,338922
Massachusetts,      Real estate and rental and leasing,259463
Massachusetts,"      Professional, scientific, and technical services",541948
Massachusetts,      Management of companies and enterprises,72552
Massachusetts,      Administrative and support and waste management and remediation services,256299
Massachusetts,      Educational services,253592
Massachusetts,      Health care and social assistance,702675
Massachusetts,"      Arts, entertainment, and recreation",117770
Massachusetts,      Accommodation and food services,308854
Massachusetts,      Other services (except government and government enterprises),237506
Massachusetts,    Government and government enterprises,462386
Michigan,Employment by place of work,
Michigan,Total employment (number of jobs),5864009
Michigan,By industry,
Michigan,  Farm employment,61897
Michigan,"      Forestry, fishing, and related activities",18229
Michigan,"      Mining, quarrying, and oil and gas extraction",12549
Michigan,      Utilities,22063
Michigan,      Construction,296316
Michigan,      Manufacturing,634026
Michigan,      Wholesale trade,192787
Michigan,      Retail trade,566331
Michigan,      Transportation and warehousing,273225
Michigan,      Information,75340
Michigan,      Finance and insurance,306946
Michigan,      Real estate and rental and leasing,312272
