"Senator","State","Amount"
"Tillis Thom (R-NC)","North Carolina","$1000"
"Schumer Charles E (D-NY)","New York","$963"
"Johnson Gloria (D-TN)","Tennessee","$925"
"Bradley James (R-CA)","California","$912"
"Lamb Mark (R-AZ)","Arizona","$876"
"Hickenlooper John (D-CO)","Colorado","$794"
"Deaton John (R-MA)","Massachusetts","$781"
"Masto Catherine Cortez (D-NV)","Nevada","$663"
"Durbin Dick (D-IL)","Illinois","$645"
"Tuberville Tommy (R-AL)","Alabama","$600"
"Christiansen Katrina (D-ND)","North Dakota","$553"
"Burton Timothy (R-MS)","Mississippi","$500"
"Sherman Sr. Carl (D-TX)","Texas","$500"
"Trone David (D-MD)","Maryland","$500"
"Weaver John Glen (R-NE)","Nebraska","$500"
"Harper Hill (D-MI)","Michigan","$455"
"Duckworth Tammy (D-IL)","Illinois","$439"
"Keough Steve (D-TX)","Texas","$400"
"Grassley Chuck (R-IA)","Iowa","$398"
"Shrewsbury Zachary (D-WV)","West Virginia","$365"
"Smith Chuck (R-VA)","Virginia","$300"
"Bennet Michael (D-CO)","Colorado","$277"
"Reese Lexi (D-CA)","California","$250"
"Staggs Trent (R-UT)","Utah","$145"
"Padilla Alex (D-CA)","California","$130"
"Booker Charles (D-KY)","Kentucky","$90"
"Van Hollen Chris (D-MD)","Maryland","$65"
"Pinkins Ty (D-MS)","Mississippi","$50"
"Welch Peter (D-VT)","Vermont","$50"
"Lujan Ben Ray (D-NM)","New Mexico","$33"
"Murray Patty (D-WA)","Washington","$25"
"Markey Ed (D-MA)","Massachusetts","$10"
"Love Preston Jr (D-NE)","Nebraska","$5"
"Signorello Joseph (D-NJ)","New Jersey","$5"
"Sasse Ben (R-NE)","Nebraska","-$2100"
"Stabenow Debbie (D-MI)","Michigan","-$2900"
"Oz Mehmet (R-PA)","Pennsylvania","-$4953"
