"Representative","State","Amount"
"Griffith Morgan (R-VA)","Virginia","$24500"
"Correa Lou (D-CA)","California","$24000"
"Edwards Chuck (R-NC)","North Carolina","$23769"
"Allen Richard W (R-GA)","Georgia","$23300"
"Burgess Michael (R-TX)","Texas","$22335"
"Guthrie Brett (R-KY)","Kentucky","$22000"
"Golden Jared (D-ME)","Maine","$21399"
"Tlaib Rashida (D-MI)","Michigan","$21305"
"Craig Angie (D-MN)","Minnesota","$21252"
"Slotkin Elissa (D-MI)","Michigan","$21014"
"McClain Lisa (R-MI)","Michigan","$21000"
"Rouzer David (R-NC)","North Carolina","$21000"
"Bost Mike (R-IL)","Illinois","$20700"
"Ferguson Drew (R-GA)","Georgia","$19800"
"Gimenez Carlos (R-FL)","Florida","$19600"
"Bucshon Larry (R-IN)","Indiana","$19500"
"Meuser Dan (R-PA)","Pennsylvania","$19500"
"Kelly Mike (R-PA)","Pennsylvania","$19300"
"Schiff Adam (D-CA)","California","$19118"
"Fischbach Michelle (R-MN)","Minnesota","$18400"
"Jordan Jim (R-OH)","Ohio","$18131"
"Kim Andy (D-NJ)","New Jersey","$18029"
"Hill French (R-AR)","Arkansas","$18000"
"Fleischmann Chuck (R-TN)","Tennessee","$17800"
"Gallego Ruben (D-AZ)","Arizona","$17372"
"Smucker Lloyd (R-PA)","Pennsylvania","$17000"
"Gaetz Matt (R-FL)","Florida","$16927"
"Aderholt Robert B (R-AL)","Alabama","$16100"
"Sessions Pete (R-TX)","Texas","$16100"
"Tonko Paul (D-NY)","New York","$16000"
"Higgins Clay (R-LA)","Louisiana","$15600"
"Wittman Rob (R-VA)","Virginia","$15600"
"Jeffries Hakeem (D-NY)","New York","$15551"
"Carl Jerry (R-AL)","Alabama","$14883"
"McCormick Richard (R-GA)","Georgia","$14825"
"Schneider Brad (D-IL)","Illinois","$14700"
"Omar Ilhan (D-MN)","Minnesota","$14603"
"Simpson Mike (R-ID)","Idaho","$14600"
"Lofgren Zoe (D-CA)","California","$14500"
"Babin Brian (R-TX)","Texas","$14250"
"Kelly Trent (R-MS)","Mississippi","$14050"
"Lesko Debbie (R-AZ)","Arizona","$14000"
"Ezell Mike (R-MS)","Mississippi","$13800"
"Miller Max (R-OH)","Ohio","$13500"
"Frankel Lois (D-FL)","Florida","$13200"
"LaLota Nick (R-NY)","New York","$13011"
"Fallon Patrick (R-TX)","Texas","$12805"
"Carter Troy (D-LA)","Louisiana","$12700"
"Houchin Erin (R-IN)","Indiana","$12500"
"Pallone Frank Jr (D-NJ)","New Jersey","$12500"
"Rogers Mike D (R-AL)","Alabama","$12300"
"Yakym Rudy (R-IN)","Indiana","$12185"
"Flood Mike (R-NE)","Nebraska","$12100"
"Harshbarger Diana (R-TN)","Tennessee","$12074"
"Foxx Virginia (R-NC)","North Carolina","$12050"
"Crane Eli (R-AZ)","Arizona","$11837"
"Thompson Bennie G (D-MS)","Mississippi","$11800"
"Lee Susie (D-NV)","Nevada","$11615"
"Finstad Brad (R-MN)","Minnesota","$11500"
"Kustoff David (R-TN)","Tennessee","$11500"
"Clyburn James E (D-SC)","South Carolina","$11084"
"Timmons William (R-SC)","South Carolina","$11000"
"Collins Mike (R-GA)","Georgia","$10910"
"Khanna Ro (D-CA)","California","$10600"
"Hoyer Steny H (D-MD)","Maryland","$10500"
"Womack Steve (R-AR)","Arkansas","$10364"
"Issa Darrell (R-CA)","California","$10300"
"Casten Sean (D-IL)","Illinois","$10125"
"Cline Ben (R-VA)","Virginia","$10100"
"Wagner Ann (R-MO)","Missouri","$10081"
"Jackson Lee Sheila (D-TX)","Texas","$10015"
"Fry Russell (R-SC)","South Carolina","$10000"
"Moore Gwen (D-WI)","Wisconsin","$10000"
